,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PERSON_ID,PTS,REB,AST
0,Achiuwa,Precious,1630173,9.0,5.8,0.9
1,Anunoby,O.G.,1628384,16.9,5.0,2.0
2,Banton,Dalano,1630625,4.2,1.3,1.0
3,Barnes,Scottie,1630567,15.5,6.8,4.8
4,Barton,Will,203115,6.7,2.4,2.1
5,Boucher,Chris,1628449,9.4,5.6,0.4
6,Dowtin Jr.,Jeff,1630288,2.4,0.9,1.2
7,Flynn,Malachi,1630201,4.4,1.4,1.3
8,Harper Jr.,Ron,1631199,1.4,0.4,0.30000000000000004
9,Koloko,Christian,1631132,3.1,3.0,0.5
10,Poeltl,Jakob,1627751,12.7,9.2,2.8
11,Porter Jr.,Otto,203490,5.5,2.4,1.0
12,Siakam,Pascal,1627783,24.3,7.9,5.9
13,Trent Jr.,Gary,1629018,17.4,2.6,1.6
14,VanVleet,Fred,1627832,19.5,4.1,7.2
15,Wieskamp,Joe,1630580,1.3,0.4,0.1
16,Young,Thaddeus,201152,4.4,3.1,1.4
17,Adams,Steven,203500,8.6,11.5,2.3
18,Aldama,Santi,1630583,9.0,4.8,1.3
19,Bane,Desmond,1630217,21.6,5.0,4.4
20,Brooks,Dillon,1628415,14.4,3.3,2.6
21,Chandler,Kennedy,1631113,2.2,1.0,1.7000000000000002
22,Clarke,Brandon,1629634,10.0,5.5,1.3
23,Jackson Jr.,Jaren,1628991,18.3,6.8,0.9
24,Jones,Tyus,1626145,10.3,2.5,5.2
25,Kennard,Luke,1628379,9.1,2.7,1.5
26,Konchar,John,1629723,5.0,4.2,1.3
27,LaRavia,Jake,1631222,3.0,1.8,0.6000000000000001
28,Lofton Jr.,Kenneth,1631254,3.4,1.6,0.9
29,Morant,Ja,1629630,26.4,5.9,8.1
30,Roddy,David,1631223,6.6,2.8,0.8
31,Tillman,Xavier,1630214,7.0,5.0,1.6
32,Williams,Ziaire,1630533,5.2,2.1,0.7000000000000001
33,Williams Jr.,Vince,1631246,0.9,0.5,0.2
34,Adebayo,Bam,1628389,20.6,9.3,3.2
35,Butler,Jimmy,202710,22.9,5.9,5.3
36,Cain,Jamal,1631288,4.3,2.5,0.6000000000000001
37,Haslem,Udonis,2617,0.5,1.3,0.0
38,Herro,Tyler,1629639,20.3,5.4,4.2
39,Highsmith,Haywood,1629312,4.3,3.3,0.7000000000000001
40,Jovic,Nikola,1631107,5.5,2.1,0.7000000000000001
41,Love,Kevin,201567,8.2,6.5,1.9
42,Lowry,Kyle,200768,11.4,4.1,5.1
43,Martin,Caleb,1628997,9.8,4.9,1.7000000000000002
44,Oladipo,Victor,203506,10.0,3.1,3.4
45,Robinson,Duncan,1629130,6.1,1.6,1.0
46,Robinson,Orlando,1631115,3.9,4.1,0.7000000000000001
47,Strus,Max,1629622,11.7,3.3,2.1
48,Vincent,Gabe,1629216,9.6,2.2,2.4
49,Yurtseven,Omer,1630209,2.3,1.4,0.0
50,Zeller,Cody,203469,5.8,4.2,0.5
51,Agbaji,Ochai,1630534,7.6,2.1,1.0
52,Azubuike,Udoka,1628962,3.1,3.0,0.30000000000000004
53,Clarkson,Jordan,203903,20.8,4.0,4.4
54,Dunn,Kris,1627739,12.3,4.1,5.1
55,Fontecchio,Simone,1631323,5.9,1.4,0.7000000000000001
56,Gay,Rudy,200752,5.2,2.9,1.0
57,Horton-Tucker,Talen,1629659,10.7,3.2,3.8
58,Jones,Damian,1627745,3.3,2.9,0.30000000000000004
59,Juzang,Johnny,1630548,4.8,2.1,0.5
60,Kessler,Walker,1631117,9.2,8.4,0.9
61,Markkanen,Lauri,1628374,25.6,8.6,1.9
62,Olynyk,Kelly,203482,12.3,6.2,3.7
63,Potter,Micah,1630695,2.3,1.0,0.5
64,Sexton,Collin,1629012,14.3,2.2,2.9
65,Toscano-Anderson,Juan,1629308,2.9,2.3,1.1
66,Alexander-Walker,Nickeil,1629638,6.0,1.8,1.8
67,Anderson,Kyle,203937,9.4,5.3,4.9
68,Conley,Mike,201144,11.7,2.8,6.7
69,Edwards,Anthony,1630162,24.5,5.7,4.5
70,Garza,Luka,1630568,6.6,2.2,0.7000000000000001
71,Gobert,Rudy,203497,13.6,11.7,1.2
72,Knight,Nathan,1630233,3.7,1.5,0.4
73,McDaniels,Jaden,1630183,12.2,3.9,1.9
74,McLaughlin,Jordan,1629162,3.7,1.4,3.3
75,Minott,Josh,1631169,3.3,1.8,0.30000000000000004
76,Moore Jr.,Wendell,1631111,1.5,0.6000000000000001,0.7000000000000001
77,Nowell,Jaylen,1629669,10.8,2.6,2.0
78,Prince,Taurean,1627752,8.8,2.4,1.6
79,Reid,Naz,1629675,11.5,4.9,1.1
80,Rivers,Austin,203085,4.9,1.6,1.4
81,Ryan,Matt,1630346,3.7,0.8,0.5
82,Towns,Karl-Anthony,1626157,20.4,8.1,4.8
83,Allen,Grayson,1628960,10.4,3.3,2.3
84,Antetokounmpo,Giannis,203507,31.1,11.8,5.7
85,Antetokounmpo,Thanasis,203648,0.7000000000000001,0.9,0.2
86,Beauchamp,MarJon,1630699,4.9,2.1,0.5
87,Carter,Jevon,1628975,8.1,2.5,2.4
88,Connaughton,Pat,1626192,7.6,4.6,1.3
89,Crowder,Jae,203109,5.4,4.0,1.3
90,Dragic,Goran,201609,6.0,1.3,2.6
91,Green,AJ,1631260,4.4,1.3,0.6000000000000001
92,Holiday,Jrue,201950,19.3,5.1,7.4
93,Ingles,Joe,204060,7.0,2.8,3.2
94,Leonard,Meyers,203086,3.4,2.1,0.0
95,Lopez,Brook,201572,15.9,6.7,1.3
96,Matthews,Wesley,202083,3.5,2.2,0.6000000000000001
97,Middleton,Khris,203114,15.1,4.2,4.9
98,Portis,Bobby,1626171,14.1,9.7,1.5
99,Wigginton,Lindell,1629623,1.6,0.2,0.4
100,Allen,Jarrett,1628386,14.4,9.9,1.7000000000000002
101,Diakite,Mamadi,1629603,2.3,1.3,0.2
102,Garland,Darius,1629636,21.6,2.7,7.8
103,Green,Danny,201980,4.8,1.0,0.5
104,LeVert,Caris,1627747,12.1,3.8,3.9
105,Lopez,Robin,201577,2.8,1.3,0.5
106,Merrill,Sam,1630241,2.0,1.3,1.0
107,Mitchell,Donovan,1628378,28.3,4.3,4.4
108,Mobley,Evan,1630596,16.3,9.1,2.9
109,Mobley,Isaiah,1630600,2.6,1.5,0.1
110,Neto,Raul,203526,3.1,1.0,1.6
111,Okoro,Isaac,1630171,6.4,2.5,1.1
112,Osman,Cedi,1626224,8.8,2.3,1.5
113,Rubio,Ricky,201937,5.2,2.0,3.4
114,Stevens,Lamar,1630205,5.3,3.3,0.5
115,Wade,Dean,1629731,4.6,3.4,0.8
116,Windler,Dylan,1629685,1.7000000000000002,0.0,0.30000000000000004
117,Alvarado,Jose,1630631,9.0,2.3,3.0
118,Daniels,Dyson,1630700,3.9,3.2,2.3
119,Hayes,Jaxson,1629637,5.0,2.8,0.7000000000000001
120,Hernangomez,Willy,1626195,6.9,4.7,0.9
121,Ingram,Brandon,1627742,24.5,5.3,5.8
122,Jones,Herbert,1630529,9.8,4.1,2.4
123,Lewis Jr.,Kira,1630184,4.6,1.3,0.9
124,Liddell,E.J.,1630604,,,
125,Marshall,Naji,1630230,9.2,3.7,2.5
126,McCollum,CJ,203468,20.8,4.4,5.8
127,Murphy III,Trey,1630530,14.2,3.6,1.4
128,Nance Jr.,Larry,1626204,6.8,5.5,1.8
129,Richardson,Josh,1626196,10.3,2.7,2.7
130,Temple,Garrett,202066,2.0,0.7000000000000001,0.5
131,Valanciunas,Jonas,202685,14.2,10.1,1.8
132,Williamson,Zion,1629627,26.0,7.0,4.6
133,Anthony,Cole,1630175,13.0,4.7,3.9
134,Banchero,Paolo,1631094,20.0,6.9,3.7
135,Bitadze,Goga,1629048,4.2,3.2,1.0
136,Bol,Bol,1629626,9.2,5.8,0.9
137,Carter Jr.,Wendell,1628976,15.5,8.8,2.3
138,Carter-Williams,Michael,203487,1.5,0.0,1.5
139,Fultz,Markelle,1628365,14.2,4.0,5.8
140,Harris,Gary,203914,8.3,2.0,1.2
141,Harris,Kevon,1630284,3.4,1.8,0.4
142,Houstan,Caleb,1631216,3.4,2.0,0.6000000000000001
143,Isaac,Jonathan,1628371,5.0,4.0,0.5
144,Okeke,Chuma,1629643,4.4,3.4,1.2
145,Schofield,Admiral,1629678,4.1,1.7000000000000002,0.8
146,Scrubb,Jay,1630206,6.5,3.0,0.5
147,Suggs,Jalen,1630591,10.0,2.9,3.0
148,Wagner,Franz,1630532,18.8,4.1,3.6
149,Wagner,Moritz,1629021,10.5,4.5,1.5
150,Arcidiacono,Ryan,1627853,1.3,0.8,1.2
151,Bolmaro,Leandro,1630195,0.4,0.5,0.5
152,Bouyea,Jamaree,1631123,3.0,1.2,0.8
153,Bradley,Tony,1628396,1.6,0.9,0.1
154,Brantley,Jarrell,1629714,5.5,1.5,0.8
155,Brown,Moses,1629650,4.3,3.9,0.1
156,Brown,Sterling,1628425,0.0,2.0,0.5
157,Brown III,Greg,1630535,1.8,1.2,0.2
158,Burton,Deonte,1629126,0.0,0.0,0.0
159,Campazzo,Facundo,1630267,1.3,0.30000000000000004,1.1
160,Carey Jr.,Vernon,1630176,0.5,1.0,0.30000000000000004
161,Culver,Jarrett,1629633,4.4,3.8,0.6000000000000001
162,Dorsey,Tyler,1628416,3.0,0.7000000000000001,0.0
163,Dotson,Devon,1629653,0.5,1.7000000000000002,1.3
164,Forbes,Bryn,1627854,3.6,0.6000000000000001,0.7000000000000001
165,Foster Jr.,Michael,1630701,0.0,0.0,0.0
166,Hall,Jordan,1631160,3.1,1.3,1.2
167,Hernangomez,Juancho,1627823,2.9,2.9,0.6000000000000001
168,Hill,Malcolm,1630792,1.0,0.6000000000000001,0.0
169,Ibaka,Serge,201586,4.1,2.8,0.30000000000000004
170,Jackson,Frank,1628402,0.0,2.0,1.0
171,Jackson,Justin,1628382,0.9,0.7000000000000001,0.4
172,Johnson,Alize,1628993,1.8,2.5,0.30000000000000004
173,Johnson,Stanley,1626169,5.8,3.2,2.2
174,Key,Braxton,1630296,1.3,0.30000000000000004,0.0
175,Moneke,Chima,1631320,1.0,1.0,0.5
176,Noel,Nerlens,203457,2.1,2.7,0.6000000000000001
177,Okpala,KZ,1629644,1.3,1.0,0.4
178,Primo,Joshua,1630563,7.0,3.3,4.5
179,Queen,Trevelin,1630243,3.0,2.4,0.9
180,Roby,Isaiah,1629676,4.1,2.5,0.9
181,Samanic,Luka,1629677,7.4,4.0,2.2
182,Schakel,Jordan,1630648,1.5,0.0,0.5
183,Seabron,Dereon,1631220,0.8,0.2,0.0
184,Silva,Chris,1629735,2.0,0.0,0.0
185,Umude,Stanley,1630649,2.0,0.0,0.0
186,Vonleh,Noah,203943,1.1,2.1,0.30000000000000004
187,Walker,Kemba,202689,8.0,1.8,2.1
188,Wall,John,202322,11.4,2.7,5.2
189,Williams,Alondes,1631214,0.0,1.0,0.0
190,Augustin,D.J.,201571,,,
191,Christopher,Josh,1630528,5.7,1.1,1.1
192,Days,Darius,1630620,3.8,1.5,0.30000000000000004
193,Eason,Tari,1631106,9.2,6.0,1.0
194,Garuba,Usman,1630586,3.1,4.1,0.9
195,Green,Jalen,1630224,22.2,3.8,3.7
196,Hudgins,Trevor,1631309,1.8,0.0,0.6000000000000001
197,Kaminsky,Frank,1626163,2.3,1.3,0.8
198,Marjanovic,Boban,1626246,3.0,1.8,0.30000000000000004
199,Martin Jr.,Kenyon,1630231,12.7,5.5,1.5
200,Nix,Daishen,1630227,4.0,1.7000000000000002,2.3
201,Porter Jr.,Kevin,1629645,19.0,5.4,5.7
202,Sengun,Alperen,1630578,14.8,8.8,3.9
203,Smith Jr.,Jabari,1631095,12.7,7.3,1.3
204,Tate,Jae'Sean,1630256,9.1,3.8,2.7
205,Washington Jr.,TyTy,1631102,4.6,1.4,1.6
206,Avdija,Deni,1630166,9.2,6.4,2.8
207,Beal,Bradley,203078,23.2,3.9,5.4
208,Cooks,Xavier,1641645,2.3,1.9,0.8
209,Davis,Johnny,1631098,5.2,2.0,0.7000000000000001
210,Gafford,Daniel,1629655,8.9,5.5,1.0
211,Gibson,Taj,201959,3.4,1.9,0.7000000000000001
212,Gill,Anthony,1630264,3.2,1.6,0.5
213,Goodwin,Jordan,1630692,6.3,3.2,2.7
214,Huff,Jay,1630643,6.3,2.8,1.3
215,Jackson,Quenton,1631245,4.4,0.7000000000000001,1.1
216,Kispert,Corey,1630557,10.9,2.8,1.2
217,Kuzma,Kyle,1628398,21.2,7.2,3.7
218,Morris,Monte,1628420,10.3,3.4,5.3
219,Nunn,Kendrick,1629134,7.0,1.5,1.2
220,Porzingis,Kristaps,204001,23.2,8.4,2.7
221,Todd,Isaiah,1630225,0.4,0.0,0.0
222,Wright,Delon,1626153,7.3,3.5,3.9
223,Ayton,Deandre,1629028,18.0,10.0,1.7000000000000002
224,Bazley,Darius,1629647,5.0,3.1,0.9
225,Biyombo,Bismack,202687,4.3,4.3,0.9
226,Booker,Devin,1626164,27.8,4.5,5.5
227,Craig,Torrey,1628470,7.4,5.4,1.5
228,Durant,Kevin,201142,29.1,6.7,5.0
229,Landale,Jock,1629111,6.3,3.9,1.0
230,Lee,Damion,1627814,8.2,3.0,1.4
231,Lee,Saben,1630240,5.1,1.7000000000000002,2.4
232,Okogie,Josh,1629006,7.1,3.4,1.4
233,Paul,Chris,101108,13.9,4.3,8.9
234,Payne,Cameron,1626166,10.2,2.2,4.5
235,Ross,Terrence,203082,8.2,2.4,1.4
236,Shamet,Landry,1629013,8.6,1.6,2.2
237,Wainright,Ish,1630688,4.2,2.2,0.9
238,Warren,T.J.,203933,7.5,2.9,1.0
239,Badji,Ibou,1630641,,,
240,Butler Jr.,John,1631219,2.1,0.9,0.5
241,Eubanks,Drew,1629234,6.6,5.4,1.3
242,Grant,Jerami,203924,20.5,4.5,2.4
243,Harrison,Shaquille,1627885,7.8,4.0,5.0
244,Johnson,Keon,1630553,4.7,1.1,1.5
245,Knox II,Kevin,1628995,6.1,2.7,0.5
246,Lillard,Damian,203081,32.2,4.8,7.3
247,Little,Nassir,1629642,6.6,2.6,0.9
248,Mays,Skylar,1630219,15.5,3.8,7.3
249,Minaya,Justin,1631303,7.5,3.5,1.5
250,Nurkic,Jusuf,203994,13.3,9.1,2.9
251,Reddish,Cam,1629629,9.7,2.2,1.4
252,Sharpe,Shaedon,1631101,9.6,2.9,1.1
253,Simons,Anfernee,1629014,21.1,2.6,4.1
254,Thybulle,Matisse,1629680,4.1,2.0,0.7000000000000001
255,Walker,Jabari,1631133,3.7,2.3,0.6000000000000001
256,Watford,Trendon,1630570,7.1,3.9,2.1
257,Williams,Jeenathan,1631466,9.0,3.3,2.3
258,Winslow,Justise,1626159,6.8,5.0,3.4
259,Bagley III,Marvin,1628963,12.0,6.4,0.9
260,Boeheim,Buddy,1631205,2.0,0.6000000000000001,0.4
261,Bogdanovic,Bojan,202711,21.6,3.8,2.6
262,Burks,Alec,202692,12.8,3.1,2.2
263,Cunningham,Cade,1630595,19.9,6.2,6.0
264,Diallo,Hamidou,1628977,9.3,3.5,1.0
265,Duren,Jalen,1631105,9.2,8.7,1.2
266,Hampton,R.J.,1630181,6.5,1.8,1.2
267,Hayes,Killian,1630165,9.9,2.8,6.2
268,Ivey,Jaden,1631093,16.1,3.9,5.2
269,Joseph,Cory,202709,6.7,1.7000000000000002,3.4
270,Livers,Isaiah,1630587,6.7,2.8,0.8
271,McGruder,Rodney,203585,5.7,2.3,0.9
